nombre,edad,lugar_registro,marca_auto,modelo_auto,año_modelo,autonomia_km,tipo_carga,fecha_registro,version_software,baterias_recicladas
Hernando Trillo-Molina,23,Pontevedra,Nissan,Ariya,2018,330,Rápida,2022-10-31,8.0.5,Sí
Crescencia del Enríquez,64,Santa Cruz de Tenerife,Volkswagen,ID.3,2024,242,Rápida,2024-01-15,10.5.3,Sí
Violeta Marti Zurita,73,Santa Cruz de Tenerife,Tesla,Model Y,2025,192,Lenta,2024-08-16,10.0.0,Sí
Soledad Zabaleta,31,Salamanca,Kia,EV6,2022,313,Ultra Rápida,2022-12-21,10.1.5,No
Rogelio Trujillo Rubio,80,Álava,BMW,iX,2021,417,Lenta,2022-11-20,9.0.3,Sí
Tamara Hervás,51,Málaga,Ford,F-150 Lightning,2022,202,Lenta,2024-06-14,1.2.9,No
Lisandro Cornejo Aranda,78,Cádiz,Kia,Niro EV,2018,244,Lenta,2024-01-20,4.0.9,Sí
Eli Diéguez Cabrera,48,Ourense,Chevrolet,Bolt EUV,2021,421,Ultra Rápida,2024-11-10,7.4.6,No
Tadeo Rueda Barón,29,Asturias,Chevrolet,Bolt EUV,2020,473,Ultra Rápida,2024-02-29,6.8.2,No
Cosme Echeverría Delgado,66,Guadalajara,Chevrolet,Bolt EUV,2021,193,Lenta,2024-02-26,7.8.5,No
Purificación de Castejón,77,Segovia,BMW,i3,2022,237,Ultra Rápida,2024-04-16,2.5.2,No
Alcides del Sancho,39,Las Palmas,Tesla,Model S,2022,565,Lenta,2022-09-05,6.7.5,No
Berto Avilés Cueto,24,Pontevedra,Chevrolet,Bolt EUV,2019,340,Rápida,2022-12-12,3.0.1,No
Vasco Paz,44,Baleares,Hyundai,Ioniq 5,2019,538,Rápida,2022-11-07,10.3.2,Sí
Ciriaco Castell Landa,42,Zaragoza,BMW,iX,2025,383,Rápida,2024-10-24,1.6.4,Sí
Áurea Robles Coll,22,Málaga,Hyundai,Ioniq 5,2024,252,Lenta,2023-06-16,2.2.1,No
Ximena Sanmiguel Aguirre,40,Ceuta,Nissan,Ariya,2020,512,Lenta,2023-03-21,8.0.7,No
Socorro de Beltrán,56,Soria,Chevrolet,Bolt EV,2022,356,Lenta,2023-10-07,7.9.5,Sí
Clementina Morell Franco,63,Cuenca,Nissan,Leaf,2024,201,Lenta,2024-05-17,8.9.7,Sí
Alicia Navarrete-Andrade,64,Salamanca,Nissan,Leaf,2023,596,Lenta,2023-06-24,1.2.3,No
Leire Manzanares Luján,67,Huesca,Volkswagen,ID.4,2019,251,Rápida,2023-03-08,5.1.4,No
Guiomar Llamas Serra,36,Álava,Nissan,Leaf,2018,359,Lenta,2022-06-02,9.1.1,Sí
Bernardino Antúnez Ribas,72,Albacete,Ford,Mustang Mach-E,2021,417,Rápida,2024-09-12,2.8.4,Sí
Aitana Roman Llopis,41,Vizcaya,Audi,Q4 e-tron,2021,513,Rápida,2022-12-09,5.2.4,Sí
Angelita Villalonga Jódar,68,Huesca,Audi,e-tron,2021,251,Lenta,2024-04-12,7.2.9,No
Bernardita Amaya,51,Zamora,Volkswagen,ID.4,2021,459,Lenta,2025-04-07,4.4.1,Sí
Carmelo Osuna,37,Cuenca,Ford,F-150 Lightning,2025,374,Rápida,2024-10-02,8.7.4,No
Filomena Mínguez Rubio,18,Melilla,Chevrolet,Bolt EUV,2022,326,Lenta,2022-10-18,1.1.1,Sí
Celso Sabater Cortina,74,Cáceres,Hyundai,Kona Electric,2021,391,Lenta,2023-08-31,5.7.0,Sí
Soledad Alfaro Nuñez,42,La Coruña,Kia,EV6,2021,305,Rápida,2022-04-27,3.7.5,Sí
Flor del Miralles,30,Cantabria,Ford,Mustang Mach-E,2020,150,Lenta,2022-05-14,2.3.4,No
Fito Suárez,30,Salamanca,Tesla,Model Y,2018,308,Lenta,2024-05-21,8.7.6,Sí
Óscar Borja Diaz,34,Barcelona,Kia,EV6,2020,374,Ultra Rápida,2023-07-14,3.2.5,No
Lorena Reina Juliá Tolosa,40,Palencia,BMW,i3,2019,164,Lenta,2023-08-18,10.4.3,No
Lourdes Garcia Benavides,76,Melilla,Hyundai,Kona Electric,2022,485,Lenta,2023-09-28,9.1.2,Sí
Olga Ríos Abascal,21,Huelva,Audi,e-tron,2021,150,Rápida,2024-04-03,3.9.2,Sí
Maximiano Morillo Ávila,29,Valencia,Chevrolet,Bolt EUV,2021,573,Rápida,2024-12-06,10.4.9,Sí
Calisto Cuenca Osuna,29,Huelva,Kia,EV6,2020,495,Rápida,2024-09-14,3.7.2,Sí
Bartolomé Ruano Cobos,18,Palencia,Tesla,Model Y,2021,179,Rápida,2022-08-17,5.3.6,Sí
Rosario Ramos-Osuna,24,Salamanca,BMW,iX,2024,349,Rápida,2024-09-18,9.6.7,Sí
Javi Arenas Guillén,57,Melilla,Kia,EV6,2018,594,Ultra Rápida,2023-02-12,4.9.9,No
Inocencio Rubio Hierro,30,Vizcaya,Hyundai,Kona Electric,2025,424,Lenta,2024-04-23,8.3.2,No
Milagros Espinosa-Palomo,48,Huesca,Volkswagen,ID.4,2022,151,Rápida,2024-02-13,5.8.9,Sí
Violeta Fuster Valls,31,La Coruña,Nissan,Leaf,2022,298,Lenta,2022-10-11,3.8.4,No
Florencio Garmendia Llorens,36,Salamanca,Chevrolet,Bolt EV,2024,241,Lenta,2023-01-05,3.7.2,No
Rufina de Juliá,73,Álava,Chevrolet,Bolt EV,2023,314,Rápida,2023-05-12,8.2.4,Sí
Teresita del Cuervo,64,Palencia,Ford,F-150 Lightning,2022,555,Rápida,2022-09-15,10.6.0,No
Elías Haroldo Flor Verdejo,57,Pontevedra,Audi,e-tron,2022,320,Ultra Rápida,2023-02-27,2.9.1,Sí
Dulce Tirado Paniagua,43,Cádiz,Nissan,Ariya,2023,391,Ultra Rápida,2024-06-25,9.6.8,Sí
Sebastian Diéguez Salvador,46,Melilla,Ford,Mustang Mach-E,2023,249,Ultra Rápida,2024-06-18,10.5.0,Sí
Luciana Zamorano,74,Cáceres,Ford,F-150 Lightning,2023,575,Ultra Rápida,2022-06-21,7.9.3,No
Rufina Ortega Sarabia,25,Huesca,Kia,Niro EV,2022,317,Ultra Rápida,2022-10-18,9.0.0,Sí
Dionisia de Cámara,80,Albacete,Chevrolet,Bolt EUV,2018,337,Lenta,2024-11-05,3.5.9,No
Bernardino del Talavera,26,Albacete,BMW,i4,2022,280,Ultra Rápida,2022-09-16,2.7.3,No
Roque de Luís,19,Girona,BMW,iX,2023,347,Ultra Rápida,2024-02-22,9.5.6,Sí
Mónica de Huerta,59,La Coruña,Nissan,Leaf,2018,205,Lenta,2023-03-06,3.5.6,No
Lisandro Bastida Bermudez,27,Ávila,Nissan,Ariya,2021,317,Ultra Rápida,2022-11-07,4.2.3,No
Estrella Ojeda,31,Lleida,Kia,Niro EV,2024,303,Ultra Rápida,2024-09-16,9.1.9,Sí
Nicanor Barba Maza,36,Valencia,Audi,Q4 e-tron,2023,528,Ultra Rápida,2023-02-10,6.4.1,Sí
Paz Cepeda Escolano,65,Jaén,Hyundai,Kona Electric,2025,364,Rápida,2022-09-06,5.6.3,Sí
Duilio Gimenez Montoya,20,La Coruña,Volkswagen,ID.4,2020,315,Lenta,2025-02-20,8.4.4,Sí
Ruperta Calderon Suárez,77,Lleida,Tesla,Model 3,2021,276,Ultra Rápida,2025-01-16,9.7.5,No
Anselma Méndez-Uriarte,74,Tarragona,Kia,EV6,2021,444,Ultra Rápida,2023-01-13,8.8.0,No
Ángela Pallarès Pardo,73,Huesca,Volkswagen,ID.3,2025,303,Lenta,2024-08-30,5.3.9,Sí
Primitiva Morales Grau,66,Cádiz,Nissan,Ariya,2025,403,Lenta,2024-04-14,2.6.8,Sí
Julia Sabater Cano,66,Girona,Ford,F-150 Lightning,2019,371,Rápida,2024-07-05,8.4.9,No
Xiomara Prats Espejo,67,Lugo,Chevrolet,Bolt EV,2022,416,Rápida,2022-08-26,10.2.8,Sí
Bruno Cantero Ledesma,74,Lleida,Tesla,Model Y,2023,570,Lenta,2025-01-10,3.0.7,Sí
Ciríaco Édgar Mariño Linares,76,Tarragona,Audi,e-tron,2023,505,Rápida,2024-03-30,7.1.1,Sí
Jenny Esteve Nadal,37,Cáceres,Hyundai,Ioniq 5,2025,497,Rápida,2023-05-14,8.4.0,No
Isaías Arenas Reguera,58,Álava,Hyundai,Ioniq 5,2018,476,Rápida,2022-05-10,6.2.0,No
Hipólito Perelló Bolaños,33,Guipúzcoa,Audi,e-tron,2020,393,Rápida,2023-10-31,1.6.1,Sí
Consuela Vives Zamora,51,Huesca,Hyundai,Kona Electric,2024,150,Lenta,2022-11-17,8.6.7,No
Pascuala Caro Egea,77,Cantabria,BMW,i3,2024,503,Lenta,2023-10-25,7.7.2,Sí
Ramona Mateo Fiol,37,Teruel,Nissan,Leaf,2019,299,Rápida,2023-02-12,7.1.5,Sí
Abilio Nuñez Cerdá,19,Guadalajara,Audi,Q4 e-tron,2023,172,Rápida,2023-01-31,8.3.2,No
Eutropio Moreno Casals,70,Valencia,Tesla,Model S,2019,296,Ultra Rápida,2022-12-21,1.5.7,No
Olivia Salcedo Fernandez,37,Castellón,Nissan,Leaf,2024,241,Ultra Rápida,2022-08-28,10.9.5,No
Leonardo del Calleja,54,Ceuta,Tesla,Model 3,2024,534,Rápida,2024-06-13,3.8.7,Sí
Bernarda Doménech Calderon,78,Salamanca,Audi,Q4 e-tron,2021,217,Lenta,2024-06-19,2.6.1,Sí
Vanesa de Zamora,57,Navarra,Volkswagen,ID.4,2018,510,Lenta,2024-11-07,3.9.9,No
Marisa Espinosa Rivero,48,Navarra,Tesla,Model X,2024,460,Lenta,2024-09-09,2.2.2,Sí
Amado García Pujol,27,Málaga,Audi,Q4 e-tron,2024,276,Rápida,2023-12-18,5.0.1,Sí
Gonzalo Álvarez,46,Salamanca,BMW,iX,2018,288,Lenta,2023-08-16,7.4.8,Sí
Eloy Bastida-Aller,39,Pontevedra,Volkswagen,ID.4,2019,420,Ultra Rápida,2024-08-12,4.4.7,Sí
Gerardo Francisco Tamayo,45,Alicante,Kia,Niro EV,2025,509,Rápida,2022-08-29,4.0.1,Sí
Mar Villar Crespi,73,Navarra,Kia,EV6,2021,538,Ultra Rápida,2022-12-18,4.9.0,No
Candela Molina Bermúdez,72,Ourense,Audi,Q4 e-tron,2021,313,Ultra Rápida,2022-06-25,6.3.0,No
Susana Mur Moya,23,Ciudad,Nissan,Leaf,2018,366,Rápida,2022-04-29,7.3.2,No
Armida Céspedes,42,Soria,Ford,Mustang Mach-E,2022,152,Rápida,2024-04-05,3.3.4,No
Obdulia Barranco Roman,39,Sevilla,Chevrolet,Bolt EUV,2022,255,Lenta,2023-02-01,9.7.4,No
Natanael Moya Pino,73,Madrid,Volkswagen,ID.3,2018,340,Rápida,2022-10-31,10.7.6,No
Marita Salud Mármol Torrijos,80,Tarragona,Tesla,Model S,2022,441,Ultra Rápida,2022-10-22,6.4.8,No
Miriam Quirós Adadia,75,Ávila,Nissan,Leaf,2025,427,Ultra Rápida,2023-11-07,2.0.6,Sí
Leocadia Sotelo Diaz,34,Palencia,BMW,i4,2021,474,Ultra Rápida,2024-05-08,7.7.2,Sí
Fausto de Granados,64,La Coruña,Chevrolet,Bolt EUV,2021,506,Rápida,2022-04-26,2.8.2,Sí
Ciríaco Cantón Alcalde,75,Valencia,Nissan,Leaf,2022,410,Lenta,2022-06-07,8.1.9,No
Juanita Suárez Manzanares,25,Cádiz,Nissan,Ariya,2025,548,Rápida,2024-01-11,10.3.0,Sí
Amílcar Benavente,44,Álava,BMW,i4,2024,304,Ultra Rápida,2024-11-22,5.8.0,No
Adelaida Torralba Ramis,32,Madrid,Volkswagen,ID.4,2023,412,Rápida,2023-06-08,3.7.7,Sí
Clímaco Casas Carvajal,40,Granada,Audi,Q4 e-tron,2020,495,Rápida,2023-12-18,2.0.0,No
Isaías Navas Dueñas,59,Navarra,Hyundai,Kona Electric,2023,385,Rápida,2024-05-08,3.9.2,Sí
Lilia Tamarit Alcalá,67,Pontevedra,Ford,F-150 Lightning,2025,205,Lenta,2024-11-03,1.1.8,No
Aurelia Company Amigó,31,Baleares,Audi,e-tron,2020,200,Ultra Rápida,2023-12-13,8.3.8,Sí
Federico Nogués Porta,50,Cantabria,Nissan,Leaf,2018,392,Lenta,2022-05-08,10.7.5,Sí
Ruth Bru Bustos,30,Asturias,Audi,Q4 e-tron,2020,194,Rápida,2025-02-20,3.8.8,No
José Ángel Rojas Grande,80,Asturias,Tesla,Model X,2022,554,Ultra Rápida,2023-10-06,8.1.1,No
Silvia Grau Ibañez,69,Madrid,Nissan,Leaf,2023,543,Ultra Rápida,2023-09-24,5.7.0,Sí
Sandra Nogueira,76,Zamora,Kia,Niro EV,2020,180,Ultra Rápida,2023-10-08,4.3.6,Sí
Nilo Lillo,33,Tarragona,Hyundai,Kona Electric,2020,198,Rápida,2023-01-13,7.2.2,No
Susana Vara-Galván,41,Girona,Tesla,Model Y,2025,496,Ultra Rápida,2024-10-19,10.7.5,Sí
Modesto Pulido Girona,73,Cáceres,Ford,F-150 Lightning,2024,390,Ultra Rápida,2025-01-29,5.4.3,No
Horacio Remigio Mora Mosquera,45,Valladolid,Kia,Niro EV,2024,381,Lenta,2023-03-23,4.8.7,No
Eliana Molina Trujillo,26,Palencia,Volkswagen,ID.3,2020,197,Lenta,2023-10-22,4.7.2,No
Felicia Quirós-Navarro,28,Palencia,Tesla,Model 3,2022,280,Lenta,2023-04-07,2.5.4,Sí
Vidal Hernandez Blanch,28,Jaén,Chevrolet,Bolt EUV,2019,258,Lenta,2024-03-12,2.4.5,Sí
Tristán Alcaraz Ballester,35,Murcia,Volkswagen,ID.3,2018,341,Ultra Rápida,2024-07-08,9.2.0,Sí
Maximiano de Buendía,74,Madrid,Ford,Mustang Mach-E,2025,290,Rápida,2024-04-03,4.2.5,No
Araceli Melisa Losa Oliver,24,Ávila,Hyundai,Ioniq 5,2018,197,Lenta,2023-07-06,5.4.0,No
Magdalena Gomez Aguirre,31,Lugo,Audi,e-tron,2019,322,Rápida,2022-08-30,2.3.4,Sí
Alcides Cuervo Múgica,43,Ourense,Nissan,Leaf,2020,203,Ultra Rápida,2023-12-01,2.2.7,No
Jessica Miranda Paniagua,70,Santa Cruz de Tenerife,Audi,Q4 e-tron,2020,244,Rápida,2024-09-27,4.5.4,Sí
Inés Rico Sola,49,Castellón,Ford,Mustang Mach-E,2019,229,Lenta,2023-12-17,2.6.1,Sí
Florentina Meléndez Contreras,62,Badajoz,Kia,EV6,2020,494,Lenta,2024-08-04,9.2.7,Sí
Paloma Ibañez Guerra,66,Vizcaya,Audi,e-tron,2021,361,Rápida,2024-10-19,10.1.6,No
Julie Armengol Benavente,19,Álava,Tesla,Model Y,2023,432,Rápida,2023-05-08,1.0.3,Sí
María Pilar Caparrós Casals,58,Segovia,Ford,Mustang Mach-E,2020,425,Lenta,2024-09-08,2.4.8,Sí
Chuy Pellicer,34,Jaén,Audi,e-tron,2025,385,Lenta,2022-09-29,6.0.0,Sí
Teo Esteve-Blazquez,56,Córdoba,Tesla,Model X,2023,323,Lenta,2023-04-24,10.7.7,No
Carlito Real-Casanova,20,Huelva,Volkswagen,ID.3,2025,250,Ultra Rápida,2024-10-12,7.4.1,Sí
Agustina Olivia Cantón Ordóñez,76,Tarragona,Audi,Q4 e-tron,2025,578,Rápida,2023-05-19,10.7.0,No
Manuela Carlos Bosch,36,Segovia,Audi,Q4 e-tron,2019,382,Ultra Rápida,2024-06-02,8.8.1,No
Lara Contreras Barba,23,Baleares,Tesla,Model 3,2023,432,Lenta,2022-09-25,1.0.5,Sí
Roque Grande Valencia,73,Jaén,Hyundai,Kona Electric,2023,312,Ultra Rápida,2024-09-27,1.1.0,Sí
Lorenza Arco Rico,22,Toledo,Tesla,Model 3,2020,479,Lenta,2022-05-17,9.9.5,Sí
Emilio Olivares Mena,33,Cáceres,Nissan,Ariya,2025,595,Ultra Rápida,2024-10-17,6.2.7,Sí
Hilario Olivé Querol,40,Almería,Volkswagen,ID.4,2018,222,Lenta,2025-04-14,7.4.0,Sí
Alicia Rico Valls,39,Barcelona,BMW,i3,2020,206,Lenta,2023-03-14,5.3.4,No
Alma Muro Rosado,28,Girona,BMW,i3,2024,400,Lenta,2024-03-19,4.0.2,No
Ana Manzanares Cid,59,Las Palmas,BMW,i4,2025,596,Ultra Rápida,2024-11-01,10.6.7,Sí
Emilia Montesinos Benito,37,Córdoba,Ford,F-150 Lightning,2023,568,Ultra Rápida,2023-03-30,4.9.6,Sí
Erasmo Ponce,76,Albacete,Ford,F-150 Lightning,2022,350,Rápida,2023-01-12,10.5.7,Sí
Edmundo Evaristo Landa Hervás,55,Girona,BMW,i4,2019,556,Rápida,2022-12-26,3.9.6,No
René Haro-Castilla,18,Tarragona,Nissan,Leaf,2022,557,Lenta,2025-04-19,1.3.2,Sí
Herminia de Lobo,58,León,BMW,i3,2024,214,Ultra Rápida,2023-11-08,4.2.3,No
Ainara Serra-Estevez,76,Baleares,Chevrolet,Bolt EV,2019,186,Rápida,2023-07-25,5.9.7,No
Ciríaco Roldan-Nuñez,53,Ourense,BMW,iX,2020,309,Rápida,2024-10-07,8.5.9,No
Samuel Julián-Raya,22,Valladolid,Chevrolet,Bolt EV,2018,365,Lenta,2024-10-16,1.9.3,Sí
Rocío Cabo Cantero,39,León,Hyundai,Ioniq 5,2021,568,Rápida,2022-11-24,7.3.2,No
Valero Morales Gallo,42,Lleida,Tesla,Model 3,2019,415,Lenta,2023-02-01,5.4.6,No
María Belén Tejada,73,Vizcaya,Ford,F-150 Lightning,2020,156,Lenta,2023-12-17,7.6.6,Sí
Kike Izaguirre-Tello,39,Huelva,Tesla,Model 3,2020,380,Ultra Rápida,2023-08-03,5.4.2,No
Maricruz Aroca Grau,70,Guadalajara,Kia,EV6,2018,265,Rápida,2023-08-15,2.0.1,Sí
Abigaíl Esther Santos Tamarit,52,Guadalajara,Chevrolet,Bolt EV,2025,446,Ultra Rápida,2023-09-10,7.6.5,Sí
Dulce Mancebo-Saura,20,Santa Cruz de Tenerife,Hyundai,Kona Electric,2025,310,Ultra Rápida,2025-04-07,1.5.8,No
Delfina Fuentes Oliver,36,Segovia,Nissan,Leaf,2024,389,Rápida,2023-09-23,1.6.2,Sí
Rosa María Jove Barragán,67,Tarragona,Nissan,Ariya,2019,402,Ultra Rápida,2024-10-01,5.7.2,No
Adelia de Acero,53,Santa Cruz de Tenerife,Chevrolet,Bolt EV,2019,491,Lenta,2024-12-03,1.8.4,Sí
Graciana Sánchez-Casas,20,Álava,Audi,Q4 e-tron,2022,211,Lenta,2022-06-11,7.0.8,No
Ale del Escolano,70,Alicante,Tesla,Model Y,2023,455,Lenta,2023-06-23,5.3.6,No
Juan Carlos de Barral,25,La Coruña,BMW,i3,2025,152,Ultra Rápida,2023-05-08,2.3.9,No
Jose Miguel Cantón Zaragoza,22,La Coruña,Nissan,Leaf,2020,521,Lenta,2024-12-22,8.9.6,Sí
Amando Ayala Arranz,50,Valladolid,Hyundai,Ioniq 5,2021,511,Ultra Rápida,2023-06-20,4.0.7,Sí
Balduino Estévez-Ribas,59,Córdoba,Tesla,Model 3,2023,513,Lenta,2022-10-15,9.8.7,No
Benito Céspedes-Company,26,Murcia,BMW,i4,2024,203,Lenta,2023-02-12,1.2.7,Sí
Juliana Bauzà Bosch,59,Álava,Volkswagen,ID.3,2020,356,Lenta,2023-03-06,5.2.3,Sí
José Zurita Moliner,39,Girona,BMW,i3,2022,582,Ultra Rápida,2022-08-04,6.3.2,No
Abilio Casanova Mayoral,49,Las Palmas,Hyundai,Ioniq 5,2022,243,Lenta,2022-05-02,4.0.5,No
Pepito Montes Cerro,38,Jaén,Audi,Q4 e-tron,2019,509,Rápida,2023-07-07,4.2.4,Sí
Felipe Villar Ángel,55,Girona,Chevrolet,Bolt EUV,2018,341,Rápida,2024-05-04,9.3.4,Sí
Jacinto Chacón Río,20,Murcia,Tesla,Model Y,2021,447,Ultra Rápida,2024-08-07,2.9.5,Sí
Milagros Ballesteros Gonzalo,56,Soria,Hyundai,Ioniq 5,2019,581,Rápida,2023-06-13,2.1.7,Sí
Wilfredo Román Tur,78,Vizcaya,Nissan,Ariya,2018,245,Ultra Rápida,2022-07-02,7.7.6,No
Rubén Pol Soriano,65,Ceuta,Ford,Mustang Mach-E,2018,549,Rápida,2023-11-03,10.4.4,Sí
Leire Acedo-Urrutia,23,Ourense,BMW,i4,2024,365,Ultra Rápida,2025-01-07,5.6.1,No
Juan Carlos Corominas Molina,27,Ávila,BMW,i3,2018,546,Ultra Rápida,2023-08-11,10.8.2,No
Maximiliano Barros-Guzmán,70,Huesca,Volkswagen,ID.4,2018,456,Lenta,2023-10-06,10.2.2,Sí
Tomás Santiago-Prats,33,Baleares,Tesla,Model 3,2019,243,Rápida,2023-06-15,3.4.8,No
Pacífica Morillo-Borrell,30,Asturias,Ford,Mustang Mach-E,2023,173,Lenta,2023-02-02,3.9.7,No
Florencio Luján,75,Navarra,Chevrolet,Bolt EUV,2018,353,Rápida,2023-10-04,2.1.4,No
Emelina Bárcena Serra,24,La Coruña,Ford,Mustang Mach-E,2022,365,Ultra Rápida,2023-12-26,8.1.3,Sí
Chuy Roda Arribas,18,Pontevedra,Audi,Q4 e-tron,2022,398,Rápida,2024-07-25,2.6.8,Sí
Valentín Vidal Nieto,50,Navarra,Ford,Mustang Mach-E,2025,246,Lenta,2023-04-29,6.3.3,Sí
Joaquina de Iborra,64,Navarra,Tesla,Model S,2024,229,Rápida,2023-12-07,2.9.2,No
Darío Sevilla Benitez,39,Murcia,Volkswagen,ID.3,2020,452,Rápida,2023-09-07,10.6.6,No
Matías Baeza Rocha,48,Zamora,Kia,Niro EV,2022,590,Rápida,2023-03-01,2.1.8,No
Ibán Alejandro Almazán Ferrándiz,25,Madrid,Kia,Niro EV,2018,512,Lenta,2022-10-01,6.2.5,Sí
Chuy Toro Rius,30,Vizcaya,Tesla,Model 3,2023,414,Ultra Rápida,2024-01-14,1.8.5,No
Lope Múgica-Portillo,56,Albacete,Audi,Q4 e-tron,2020,200,Rápida,2024-06-22,9.6.3,No
Luciano Lladó Alemany,19,Tarragona,Hyundai,Kona Electric,2018,247,Ultra Rápida,2023-04-03,1.5.8,No
Nerea Calixta Acuña Miguel,23,Tarragona,Hyundai,Ioniq 5,2023,400,Ultra Rápida,2025-03-26,10.5.2,No
Melchor Ferrero Rosselló,43,Zaragoza,Audi,e-tron,2021,382,Lenta,2024-07-17,7.8.8,No
Morena Carmen Anaya Chico,74,Cuenca,Hyundai,Ioniq 5,2018,529,Rápida,2022-08-05,5.4.2,Sí
Graciano Casanova Naranjo,21,Alicante,Nissan,Leaf,2023,397,Ultra Rápida,2023-03-01,8.2.7,No
Felisa Sánchez Barón,62,Segovia,Audi,e-tron,2023,428,Lenta,2022-10-12,8.9.1,Sí
Isidora Carpio Aller,57,La Coruña,Ford,Mustang Mach-E,2025,400,Rápida,2024-03-19,5.5.8,No
Soledad Sala Escrivá,58,Cuenca,Chevrolet,Bolt EUV,2023,290,Rápida,2023-07-21,6.7.7,Sí
Ale Montenegro Somoza,36,Murcia,BMW,i4,2019,442,Ultra Rápida,2024-07-02,7.3.9,No
Lilia del Alcolea,55,Huelva,Audi,Q4 e-tron,2019,447,Ultra Rápida,2022-08-08,4.0.6,No
Augusto Sola Bas,28,Ourense,Kia,Niro EV,2023,430,Ultra Rápida,2023-08-04,2.1.1,Sí
Marcelo de Casal,74,Cádiz,Nissan,Leaf,2023,520,Ultra Rápida,2025-02-07,10.8.7,No
Perlita Felisa Zapata Salazar,76,Melilla,Kia,Niro EV,2024,535,Lenta,2023-09-29,7.7.7,No
Marcos Sánchez Cazorla,73,Madrid,Chevrolet,Bolt EV,2023,376,Ultra Rápida,2024-04-12,10.4.7,Sí
Vinicio Josep Cordero Solé,30,Valladolid,Hyundai,Ioniq 5,2018,208,Rápida,2023-12-18,2.2.9,No
Bernabé del Campoy,73,Cáceres,BMW,i3,2022,180,Rápida,2022-05-03,2.8.4,No
Jerónimo Canales Saez,42,Melilla,Volkswagen,ID.4,2022,565,Lenta,2024-04-26,10.5.0,Sí
Teo Posada-Fuertes,54,Alicante,Ford,F-150 Lightning,2020,491,Ultra Rápida,2022-06-10,2.1.7,No
Régulo Huerta Sevillano,75,León,Kia,Niro EV,2019,317,Rápida,2024-07-27,2.7.5,Sí
Ismael Melero Morillo,69,Las Palmas,BMW,i4,2019,276,Ultra Rápida,2024-06-18,5.9.4,Sí
Josué Romeu Tomas,78,Segovia,Chevrolet,Bolt EUV,2021,580,Lenta,2024-06-30,7.2.0,Sí
Angelino Sáenz,49,Pontevedra,Tesla,Model 3,2019,595,Lenta,2024-08-22,9.0.2,No
Melisa de Aguilar,75,Segovia,Nissan,Ariya,2025,314,Rápida,2024-01-20,5.1.1,Sí
Gastón Cases Villalonga,52,Granada,Audi,Q4 e-tron,2025,204,Rápida,2023-10-24,6.8.5,No
Paulina Roldan Sotelo,53,Asturias,Audi,e-tron,2018,542,Lenta,2024-07-14,7.3.9,No
Federico Rivera-Oliveras,35,Toledo,Tesla,Model Y,2019,597,Ultra Rápida,2024-10-03,3.6.5,Sí
Noemí Llorens Pedro,65,Asturias,Chevrolet,Bolt EV,2024,527,Rápida,2025-02-11,2.0.0,No
Máximo Alba Prat,57,Valladolid,Kia,EV6,2018,421,Ultra Rápida,2024-03-02,6.3.7,Sí
Tristán del Casas,48,Cádiz,Kia,EV6,2025,477,Lenta,2023-02-21,2.1.6,No
Olga Delia Pina Exposito,39,Girona,Volkswagen,ID.4,2020,419,Lenta,2023-09-17,1.7.8,No
Petrona Silva Pombo,55,Cádiz,Volkswagen,ID.3,2019,521,Ultra Rápida,2024-08-23,8.4.5,No
Fulgencio Miró Isern,75,Santa Cruz de Tenerife,Hyundai,Kona Electric,2019,433,Lenta,2022-10-08,4.2.4,Sí
Sol de Palomo,19,Badajoz,BMW,i3,2019,251,Ultra Rápida,2023-10-05,3.4.4,Sí
Simón Navarro Costa,25,Ourense,Ford,Mustang Mach-E,2023,558,Rápida,2022-10-27,4.8.0,Sí
Eduardo Vidal Macías,41,Córdoba,Nissan,Leaf,2018,300,Rápida,2024-02-21,1.6.9,No
Amílcar Fuster Mulet,51,Huelva,Hyundai,Ioniq 5,2021,397,Lenta,2022-06-06,6.8.9,No
Ariel Galiano Coll,65,León,Hyundai,Kona Electric,2024,498,Lenta,2022-08-03,2.0.6,Sí
Pilar Mayoral Herrera,70,Valladolid,Volkswagen,ID.4,2024,511,Ultra Rápida,2024-04-19,7.3.0,Sí
Bernardo Ramírez Ibarra,21,Barcelona,Chevrolet,Bolt EUV,2018,360,Rápida,2023-02-19,6.3.5,Sí
Efraín Rodriguez,19,Lugo,Ford,Mustang Mach-E,2018,494,Ultra Rápida,2025-02-15,1.9.5,No
Flavio Ferrer Iñiguez,57,Guipúzcoa,BMW,i3,2018,566,Rápida,2023-08-13,5.2.3,No
Lucila Artigas-Morera,24,Valencia,Audi,Q4 e-tron,2018,219,Ultra Rápida,2024-11-09,9.2.4,No
Rebeca Manso Zaragoza,56,Guipúzcoa,Nissan,Leaf,2021,570,Ultra Rápida,2023-01-12,10.3.6,No
Pepe Jiménez Castejón,47,Navarra,Tesla,Model 3,2023,173,Lenta,2023-02-01,1.9.1,No
José Manuel Osuna Vallejo,20,Tarragona,Kia,EV6,2022,562,Rápida,2023-12-02,4.9.6,Sí
Evelia Peinado Lobato,79,Valladolid,Nissan,Ariya,2023,282,Ultra Rápida,2025-04-18,4.2.6,No
Estrella del Azorin,71,Segovia,BMW,i4,2023,452,Rápida,2024-02-03,1.4.4,No
